fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout
3,2026-08-03,passive_buy,0.7,0.5,660,0.00012676962584072342,0.0010303030303034282,-0.010075757575757165,0.6800000000002626
3,2026-08-03,passive_buy,0.7,1.0,164,0.00012676962584072342,0.0006707317073185428,-0.009573170731705716,0.11000000000024102
3,2026-08-03,passive_buy,0.9,0.0,1137,0.0003967827152445102,0.0030826737027266817,-0.007581354441512451,3.505000000000237
3,2026-08-03,passive_buy,0.9,0.25,479,0.0003967827152445102,0.0024425887265141374,-0.008517745302713332,1.1700000000002717
3,2026-08-03,passive_buy,0.9,0.5,274,0.0003967827152445102,0.0008394160583948493,-0.010218978102189044,0.23000000000018872
3,2026-08-03,passive_buy,0.9,1.0,63,0.0003967827152445102,0.0008730158730180114,-0.00999999999999756,0.05500000000013472
3,2026-08-03,passive_sell,0.0,0.0,7032,-inf,0.0023606370875993645,-0.009802332195677096,16.59999999999873
3,2026-08-03,passive_sell,0.0,0.25,3625,-inf,0.0009751724137928555,-0.011296551724138189,3.5349999999991013
3,2026-08-03,passive_sell,0.0,0.5,2396,-inf,0.0006636060100164527,-0.011690317195325732,1.5899999999994208
3,2026-08-03,passive_sell,0.0,1.0,805,-inf,0.002478260869564411,-0.009614906832298943,1.9949999999993508
3,2026-08-03,passive_sell,0.3,0.0,4081,-0.00012676962584072358,0.0029759862778729407,-0.009487870619946185,12.14499999999947
3,2026-08-03,passive_sell,0.3,0.25,2038,-0.00012676962584072358,0.0013812561334640122,-0.011172718351324934,2.8149999999996567
3,2026-08-03,passive_sell,0.3,0.5,1336,-0.00012676962584072358,0.000767215568862067,-0.01180389221556895,1.0249999999997215
3,2026-08-03,passive_sell,0.3,1.0,411,-0.00012676962584072358,0.002201946472018845,-0.01034063260340681,0.9049999999997453
3,2026-08-03,passive_sell,0.5,0.0,2838,4.275297896168937e-05,0.0030073995771669327,-0.009809725158562467,8.534999999999755
3,2026-08-03,passive_sell,0.5,0.25,1432,4.275297896168937e-05,0.001365223463686971,-0.011480446927374464,1.9549999999997425
3,2026-08-03,passive_sell,0.5,0.5,932,4.275297896168937e-05,0.00032725321888389875,-0.012607296137339246,0.30499999999979366
3,2026-08-03,passive_sell,0.5,1.0,276,4.275297896168937e-05,-7.24637681169059e-05,-0.013043478260870574,-0.020000000000266027
3,2026-08-03,passive_sell,0.7,0.0,1663,0.00022786232029640396,0.002182802164762415,-0.010920024052916517,3.629999999999896
3,2026-08-03,passive_sell,0.7,0.25,822,0.00022786232029640396,-8.515815085167693e-05,-0.013211678832116814,-0.07000000000007844
3,2026-08-03,passive_sell,0.7,0.5,554,0.00022786232029640396,-0.001308664259927762,-0.014476534296028848,-0.7249999999999801
3,2026-08-03,passive_sell,0.7,1.0,170,0.00022786232029640396,0.00023529411764617607,-0.012823529411765875,0.03999999999984993
3,2026-08-03,passive_sell,0.9,0.0,505,0.0005581864053284894,0.0034950495049505524,-0.010138613861385993,1.765000000000029
3,2026-08-03,passive_sell,0.9,0.25,257,0.0005581864053284894,0.0021984435797664176,-0.011361867704280108,0.5649999999999693
3,2026-08-03,passive_sell,0.9,0.5,171,0.0005581864053284894,8.771929824561736e-05,-0.01397660818713434,0.015000000000000568
3,2026-08-03,passive_sell,0.9,1.0,48,0.0005581864053284894,0.0028124999999998104,-0.010208333333333819,0.1349999999999909
