fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout,n_unwind_1000,mean_unwind_1000,frac_passive_exit_1000,n_unwind_5000,mean_unwind_5000,frac_passive_exit_5000
2,2026-07-31,passive_sell,0.7,1.0,556,0.0002488711904523378,-0.0017805755395677483,-0.016618705035970766,-0.989999999999668,556,-0.014244604316546306,0.19424460431654678,556,-0.014208633093524806,0.5665467625899281
2,2026-07-31,passive_sell,0.9,0.0,1792,0.0006248064981540022,-0.0033035714285713186,-0.019341517857142772,-5.919999999999803,1792,-0.008175223214285448,0.7131696428571429,1792,-0.004626116071428337,0.9838169642857143
2,2026-07-31,passive_sell,0.9,0.25,1422,0.0006248064981540022,-0.005158227848101202,-0.0213853727144866,-7.3349999999999085,1422,-0.013614627285513102,0.6167369901547117,1422,-0.009437412095639745,0.9486638537271449
2,2026-07-31,passive_sell,0.9,0.5,1176,0.0006248064981540022,-0.004991496598639387,-0.021403061224489737,-5.869999999999919,1176,-0.015238095238094853,0.5348639455782312,1176,-0.0110799319727889,0.9158163265306123
2,2026-07-31,passive_sell,0.9,1.0,183,0.0006248064981540022,-0.0024863387978132667,-0.017049180327868296,-0.45499999999982776,183,-0.015300546448086639,0.25136612021857924,183,-0.015901639344261424,0.6229508196721312
3,2026-08-03,passive_buy,0.0,0.0,17611,-inf,-0.0007966611776729873,-0.012870932939639958,-14.029999999998978,17611,-0.006428936460167028,0.6185906535687923,17611,-0.003211061268525405,0.9561637612855601
3,2026-08-03,passive_buy,0.0,0.25,12895,-inf,-0.0027425358666149017,-0.014970143466459824,-35.364999999999156,12895,-0.00975882124854604,0.5556417215975185,12892,-0.006210052745888895,0.9289481849208812
3,2026-08-03,passive_buy,0.0,0.5,9809,-inf,-0.0028998878580894856,-0.015138138444285864,-28.444999999999766,9809,-0.010685085125904896,0.4866958915281884,9806,-0.00682337344482969,0.8893534570671018
3,2026-08-03,passive_buy,0.0,1.0,2013,-inf,-0.0015176353700939945,-0.012727272727272355,-3.054999999999211,2013,-0.010958768007948393,0.17585692995529062,2010,-0.006169154228855865,0.5199004975124378
3,2026-08-03,passive_buy,0.3,0.0,12257,-0.000227862320296404,-0.0006571754915557442,-0.012388839030757853,-8.054999999998756,12257,-0.006159745451578772,0.6127926898914906,12257,-0.0028489842538957774,0.953251203393979
3,2026-08-03,passive_buy,0.3,0.25,9157,-0.000227862320296404,-0.002663536092606628,-0.014593207382330371,-24.389999999998892,9157,-0.009546794801791087,0.5475592442939827,9155,-0.0059912616056799605,0.9257236482796286
3,2026-08-03,passive_buy,0.3,0.5,7056,-0.000227862320296404,-0.0031356292517005814,-0.015045351473922847,-22.124999999999304,7056,-0.010517290249433247,0.4793083900226757,7054,-0.006592004536433239,0.8826197901899632
3,2026-08-03,passive_buy,0.3,1.0,1401,-0.000227862320296404,-0.0017237687366161286,-0.012662384011419898,-2.4149999999991962,1401,-0.01053533190578175,0.17844396859386152,1400,-0.005707142857143026,0.5142857142857142
3,2026-08-03,passive_buy,0.5,0.0,9007,-4.275297896168937e-05,-0.0006633729321637647,-0.012183857000110977,-5.974999999999028,9007,-0.006190740535139471,0.6156322859997779,9007,-0.0029754635283668887,0.9553680470744976
3,2026-08-03,passive_buy,0.5,0.25,6755,-4.275297896168937e-05,-0.002568467801628227,-0.014307920059215292,-17.349999999998673,6755,-0.00934270910436727,0.5504071058475204,6753,-0.005689323263734634,0.9284762327854287
3,2026-08-03,passive_buy,0.5,0.5,5309,-4.275297896168937e-05,-0.0032642682237707674,-0.014957619137313919,-17.329999999999004,5309,-0.01033339611979672,0.48125824072330003,5307,-0.006191822121726035,0.8865649142641794
3,2026-08-03,passive_buy,0.5,1.0,1063,-4.275297896168937e-05,-0.0026999059266222753,-0.013396048918155776,-2.8699999999994787,1063,-0.011015992474129975,0.19379115710253997,1063,-0.004506114769520245,0.5268109125117592
