feature,target,n,pearson,spearman,slope,slope_se_hac,t_stat_hac,p_value_hac,hac_lag,directional_accuracy,pct_target_unchanged,cond_mean_pos,cond_mean_neg,cond_mean_se_pos,cond_mean_se_neg,ci95_slope_low,ci95_slope_high,p_value_fdr
nOFI_L2,ev50,2158662,0.01186793964282674,0.016091882530511536,0.00015624414507272176,1.4484223661301245e-05,10.787195001011533,3.956824764595861e-27,36,0.5079882341890088,15.073642839870253,0.00021387211285785253,-0.00024131848028486849,1.3712988304115971e-05,1.3726432670585561e-05,0.00012785558835254844,0.00018463270179289507,9.955881665757327e-27
zOFI,ms100,1446981,0.03125898085731776,0.022744823612965665,0.00041359723060572265,1.1327128268962052e-05,36.513864837130704,6.682234541142759e-292,33,0.509602393760309,49.971837916323715,0.0002820940954972441,-0.0003375040838598927,1.329887911853982e-05,1.3308653568045915e-05,0.0003913964671502915,0.0004357979940611538,5.212142942091353e-290
zOFI,ms250,1864457,0.025479219570210446,0.018371112172990804,0.0004515797496648971,1.4604353442416277e-05,30.920899815622622,6.256243686197903e-210,35,0.5058650069575861,39.176178372577105,0.00031529271882533796,-0.00035710050112558656,1.5584900117857672e-05,1.571887888649228e-05,0.0004229557429002676,0.00048020375642952656,2.439935037617182e-208
zOFI,ms500,2067545,0.018174897449303104,0.015158143388811782,0.00042362212524039224,2.0504604102239676e-05,20.659853910279637,7.960477640299777e-95,36,0.5040704784552213,28.77069181081911,0.0002930510978408857,-0.00035851977320924664,1.9469517904538848e-05,1.9570192965243028e-05,0.0003834338396827502,0.00046381041079803425,6.89908062159314e-94
zOFI,ms1000,2144991,0.013703182150611927,0.013814136452600132,0.000434512806248427,3.032280443655666e-05,14.32957189555283,1.4299937423494615e-46,36,0.5039066191720751,18.60543937014188,0.000314592941927279,-0.0003907205566578631,2.5987769126213703e-05,2.61253712772671e-05,0.00037508120164252455,0.0004939444108543294,5.3114053287265716e-46
zOFI,ms2000,2157802,0.011463199936400265,0.014704110243373912,0.0005057652639181437,4.494298808098189e-05,11.25348548269232,2.2261741304942823e-29,36,0.5051128673872641,11.003187502838536,0.000362874482315972,-0.0004925883726281628,3.609159358775005e-05,3.6191979221513025e-05,0.00041767862592180624,0.0005938519019144811,5.788052739285133e-29
zOFI,ms5000,2158188,0.00695542731451364,0.012781302344892982,0.0004779115595840542,7.276913378105418e-05,6.567503758145338,5.1165721166204775e-11,36,0.50604528230381,5.612161683782877,0.00029787830397084866,-0.0005957096016990125,5.609681212013696e-05,5.646045622284201e-05,0.00033528667818701096,0.0006205364409810974,8.868725002142162e-11
zOFI,ms10000,2157691,0.0026498237731467015,0.0052183977498553805,0.0002551745853322984,0.00010208167293681367,2.499710065392893,0.012429498457797006,36,0.502547016946265,3.6958952880648805,3.301556619391736e-06,-0.000577902415846016,7.859000308867869e-05,7.918800666467092e-05,5.509818289454649e-05,0.00045525098777005036,0.01589345704439617
zOFI,ms30000,2155694,0.0019589670695314776,0.003548290743240819,0.0003233334655341041,0.00017529669441454003,1.8444926563731319,0.06511137507619176,36,0.5020630171744523,2.0053866643410427,-0.00047694977362826714,-0.0010614254738756338,0.00013480159852767584,0.00013576241458287594,-2.024174212731804e-05,0.0006669086731955261,0.07694980690822661
zOFI,ev1,2158685,0.009762041728870999,0.009341495585274015,2.2165472765951064e-05,1.5447177912128895e-06,14.349205331898885,1.0776496325258637e-46,36,0.511874582263863,88.28666526149021,2.2850874767251734e-05,-7.468795428576198e-06,1.860698938749478e-06,1.858847231862692e-06,1.9137881528895538e-05,2.519306400300659e-05,4.202833566850869e-46
